FIPS,State,County,# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
17063,Illinois,Grundy,536,322,295,350,,,,15,28.8,16.1,47.5,,,,,,,,,,,10,10,11,10,10,11,9,6,11,11,27,4740,9,2479,5,28,18,9.0,41,12,8,16,30,29,31,1822,6,5,7,359,3,2,3,11484,61,1627:1,10,71969,66139,77799,,55060,69531,23,32,30,,,,19,8,5,12,50437,25.5,13.6,701,1.4,168,0.3,425,0.8,21,0.0,4888,9.7,43835,86.9,346,0.7,0.3,1.2,50.0,12203,24.4,
17065,Illinois,Hamilton,117,355,288,422,,,,,,,,,,,,,,,,,,11,11,12,11,11,12,11,8,16,,,970,12,366,4,,,5.0,,,,,30,29,32,352,7,6,9,57,3,2,4,11358,62,1612:1,,47855,42229,53481,,,,47,,,,,,,,,,8061,22.2,20.1,53,0.7,36,0.4,24,0.3,1,0.0,140,1.7,7758,96.2,1,0.0,,,51.0,5759,68.1,
17067,Illinois,Hancock,237,312,268,355,,,,,,,,,,,,,,,,,,11,10,11,11,10,11,11,8,15,6,38,2090,11,2707,14,,,5.0,22,17,11,25,29,28,31,708,7,6,8,120,3,2,4,8166,49,2056:1,21,51721,46951,56491,,,,48,,27,,,,,,,,18508,20.8,23.8,97,0.5,50,0.3,63,0.3,13,0.1,259,1.4,17839,96.4,38,0.2,0.0,0.7,50.4,13559,71.0,
17069,Illinois,Hardin,96,523,411,655,,,,,,,,,,,,,,,,,,13,12,13,12,12,13,12,8,16,,,590,14,206,5,,,15.0,11,38,19,67,31,30,33,192,8,7,10,29,4,2,5,11558,75,1341:1,,39143,34174,44112,,,,55,,10,,,,,,,,4024,17.9,23.9,76,1.9,31,0.8,19,0.5,4,0.1,81,2.0,3762,93.5,0,0.0,0.0,1.3,47.9,4320,100.0,
17071,Illinois,Henderson,110,345,275,415,,,,,,,,,,,,,,,,,,11,10,11,11,10,11,11,8,15,,,740,11,33,0,,,5.0,,,,,30,29,31,298,7,6,9,50,4,3,5,9833,29,3435:1,,47792,43125,52459,,90625,46199,58,,,,,,,,,,6869,18.8,24.0,17,0.2,20,0.3,22,0.3,5,0.1,112,1.6,6624,96.4,11,0.2,0.0,1.2,50.7,7306,99.7,
17073,Illinois,Henry,603,318,291,344,,,,22,49.0,30.7,74.1,,,,23,6,4,9,,,,11,10,11,11,10,11,11,8,14,19,46,5110,10,2559,5,13,9,5.0,52,15,11,20,30,28,31,1988,7,6,8,327,3,2,4,8850,41,2464:1,16,55287,50378,60196,18846,32401,56180,38,56,47,,,,14,6,3,10,49280,22.4,19.2,839,1.7,152,0.3,240,0.5,16,0.0,2816,5.7,44676,90.7,440,0.9,0.6,1.3,50.0,25382,50.3,
17075,Illinois,Iroquois,465,437,395,480,,,,19,74.6,44.9,116.5,,,,,,,,,,,12,11,12,11,11,12,12,8,16,15,62,3290,11,2241,8,18,21,8.0,47,23,17,31,31,29,32,1486,9,8,10,227,4,3,4,10068,67,1491:1,15,47589,44594,50584,,38004,49215,49,44,38,,,,17,12,7,19,28334,21.8,21.1,290,1.0,97,0.3,184,0.6,9,0.0,1907,6.7,25575,90.3,362,1.3,0.8,1.9,51.0,21320,71.7,
17077,Illinois,Jackson,672,386,356,417,515,,383,24,56.1,36.0,83.5,,,,37,8,6,11,,,,14,14,14,13,13,14,9,7,11,50,97,11490,19,6755,11,32,18,6.0,60,14,11,19,35,33,36,3185,8,7,10,390,4,2,5,10609,155,647:1,8,34982,31301,38663,14103,27396,39258,66,44,37,,,,30,10,7,14,58870,18.2,14.1,8501,14.4,339,0.6,2262,3.8,52,0.1,2456,4.2,43873,74.5,430,0.8,0.4,1.1,49.9,22381,37.2,
17079,Illinois,Jasper,130,364,299,429,,,,,,,,,,,,,,,,,,10,10,11,10,10,11,10,7,14,,,950,10,388,4,,,6.0,15,22,13,37,29,28,30,438,8,6,9,83,4,3,5,10728,52,1907:1,,51120,45453,56787,,,,38,,20,,,,,,,,9536,22.8,18.8,21,0.2,21,0.2,32,0.3,2,0.0,140,1.5,9264,97.1,1,0.0,0.0,0.8,49.6,6775,69.9,
17081,Illinois,Jefferson,569,405,371,440,564,,397,21,62.3,38.6,95.2,,,,23,7,4,11,,,,12,12,12,12,11,12,11,8,15,41,127,5460,14,3334,9,20,17,6.0,54,20,15,26,31,30,33,1447,7,6,8,235,3,2,4,10555,73,1374:1,17,45746,41760,49732,26713,23309,45108,59,65,49,4,2,7,23,12,8,18,38460,22.2,18.4,3359,8.7,130,0.3,487,1.3,12,0.0,973,2.5,32919,85.6,102,0.3,0.0,0.5,48.5,22819,58.8,
