"ZIP","FIPS","CountyName","St","Name","Lat","Long","Enc_ZIP","Pops","Area","PopDensity"
60161,17031,"Cook","IL","60161 Melrose Park",41.906366,-87.864226,"60160",0,0,0
60162,17031,"Cook","IL","60162 Hillside",41.877499,-87.903156,"",0,0,0
60163,17031,"Cook","IL","60163 Berkeley",41.885916,-87.913643,"",0,0,0
60164,17031,"Cook","IL","60164 Melrose Park",41.919623,-87.896941,"",0,0,0
60165,17031,"Cook","IL","60165 Stone Park",41.903390,-87.881194,"",0,0,0
60168,17031,"Cook","IL","60168 Schaumburg",42.026989,-88.090369,"60194",0,0,0
60170,17089,"Kane","IL","60170 Plato Center",42.038259,-88.285201,"60120",0,0,0
60171,17031,"Cook","IL","60171 River Grove",41.930009,-87.838479,"",0,0,0
60172,17043,"DuPage","IL","60172 Roselle",41.982513,-88.085648,"",0,0,0
60173,17031,"Cook","IL","60173 Schaumburg",42.055930,-88.055216,"",0,0,0
60174,17089,"Kane","IL","60174 Saint Charles",41.914595,-88.307760,"",0,0,0
60175,17089,"Kane","IL","60175 Saint Charles",41.938088,-88.390126,"",0,0,0
60176,17031,"Cook","IL","60176 Schiller Park",41.954418,-87.863428,"",0,0,0
60177,17089,"Kane","IL","60177 South Elgin",41.987671,-88.310915,"",0,0,0
60178,17037,"DeKalb","IL","60178 Sycamore",41.986808,-88.695672,"",0,0,0
60179,17031,"Cook","IL","60179 Hoffman Estates",42.077947,-88.223660,"60192",0,0,0
60180,17111,"McHenry","IL","60180 Union",42.218674,-88.524826,"",0,0,0
60181,17043,"DuPage","IL","60181 Villa Park",41.878659,-87.979697,"",0,0,0
60183,17089,"Kane","IL","60183 Wasco",41.938121,-88.402036,"60175",0,0,0
60184,17043,"DuPage","IL","60184 Wayne",41.951074,-88.249318,"",0,0,0
60185,17043,"DuPage","IL","60185 West Chicago",41.889249,-88.205224,"",0,0,0
60186,17043,"DuPage","IL","60186 West Chicago",41.882266,-88.214180,"60185",0,0,0
60187,17043,"DuPage","IL","60187 Wheaton",41.855202,-88.112838,"",0,0,0
60188,17043,"DuPage","IL","60188 Carol Stream",41.917363,-88.139094,"",0,0,0
60189,17043,"DuPage","IL","60189 Wheaton",41.865222,-88.110086,"60187",0,0,0
60190,17043,"DuPage","IL","60190 Winfield",41.872450,-88.152779,"",0,0,0
60191,17043,"DuPage","IL","60191 Wood Dale",41.961932,-87.981470,"",0,0,0
60192,17031,"Cook","IL","60192 Schaumburg",42.060126,-88.210053,"",0,0,0
60193,17031,"Cook","IL","60193 Schaumburg",42.016340,-88.096870,"",0,0,0
60194,17031,"Cook","IL","60194 Schaumburg",42.038188,-88.109689,"",0,0,0
60195,17031,"Cook","IL","60195 Schaumburg",42.064506,-88.108390,"",0,0,0
60196,17031,"Cook","IL","60196 Schaumburg",42.069057,-88.045986,"60173",0,0,0
60197,17043,"DuPage","IL","60197 Carol Stream",41.916771,-88.101279,"60188",0,0,0
60199,17043,"DuPage","IL","60199 Carol Stream",41.916771,-88.101279,"60188",0,0,0
60201,17031,"Cook","IL","60201 Evanston",42.053843,-87.695307,"",0,0,0
60202,17031,"Cook","IL","60202 Evanston",42.030827,-87.686174,"",0,0,0
60203,17031,"Cook","IL","60203 Evanston",42.049706,-87.714124,"",0,0,0
60204,17031,"Cook","IL","60204 Evanston",42.047140,-87.687318,"60201",0,0,0
60208,17031,"Cook","IL","60208 Evanston",42.055531,-87.676757,"",0,0,0
60209,17031,"Cook","IL","60209 Evanston",42.049639,-87.679124,"60201",0,0,0
60296,17111,"McHenry","IL","60296 McHenry",42.338686,-88.285737,"60050",0,0,0
60297,17111,"McHenry","IL","60297 McHenry",42.338686,-88.285737,"60050",0,0,0
60301,17031,"Cook","IL","60301 Oak Park",41.888626,-87.797179,"",0,0,0
60302,17031,"Cook","IL","60302 Oak Park",41.891823,-87.787982,"",0,0,0
60303,17031,"Cook","IL","60303 Oak Park",41.888815,-87.796877,"60301",0,0,0
60304,17031,"Cook","IL","60304 Oak Park",41.874034,-87.789028,"",0,0,0
60305,17031,"Cook","IL","60305 River Forest",41.896868,-87.811714,"",0,0,0
60398,17031,"Cook","IL","60398 Franklin Park",41.936545,-87.870055,"60131",0,0,0
60399,17043,"DuPage","IL","60399 Wood Dale",41.953699,-87.935311,"60106",0,0,0
60401,17197,"Will","IL","60401 Beecher",41.349309,-87.623791,"",0,0,0
60402,17031,"Cook","IL","60402 Berwyn",41.843746,-87.793106,"",0,0,0
60406,17031,"Cook","IL","60406 Blue Island",41.660016,-87.679686,"",0,0,0
60407,17063,"Grundy","IL","60407 Braceville",41.230244,-88.266306,"",0,0,0
60408,17197,"Will","IL","60408 Braidwood",41.264444,-88.220873,"",0,0,0
60409,17031,"Cook","IL","60409 Calumet City",41.619338,-87.551659,"",0,0,0
60410,17197,"Will","IL","60410 Channahon",41.434098,-88.224486,"",0,0,0
60411,17031,"Cook","IL","60411 Chicago Heights",41.506181,-87.616433,"",0,0,0
60412,17031,"Cook","IL","60412 Chicago Heights",41.506937,-87.634141,"60411",0,0,0
60415,17031,"Cook","IL","60415 Chicago Ridge",41.702121,-87.775261,"",0,0,0
60416,17063,"Grundy","IL","60416 Coal City",41.282407,-88.285241,"",0,0,0
60417,17197,"Will","IL","60417 Crete",41.444063,-87.603510,"",0,0,0
60419,17031,"Cook","IL","60419 Dolton",41.624275,-87.597842,"",0,0,0
60420,17105,"Livingston","IL","60420 Dwight",41.094036,-88.428211,"",0,0,0
60421,17197,"Will","IL","60421 Elwood",41.427261,-88.107539,"",0,0,0
60422,17031,"Cook","IL","60422 Flossmoor",41.540679,-87.683691,"",0,0,0
60423,17197,"Will","IL","60423 Frankfort",41.502926,-87.839592,"",0,0,0
60424,17063,"Grundy","IL","60424 Gardner",41.187455,-88.308200,"",0,0,0
60425,17031,"Cook","IL","60425 Glenwood",41.546567,-87.612400,"",0,0,0
