FIPS,State,County,# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,Other PCP Rate,Other PCP Ratio,Other PCP Rate,Other PCP Ratio,Household Income,95% CI - Low,95% CI - High,% Free Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
17071,Illinois,Henderson,99,316,253,389,,,,,,,,,9,9,10,10,9,10,10,10,11,,,850,12,32,0,,,6.1-8.0,10,20,9,36,31,30,32,630,16,14,18,74,5,4,7,9108,14,6916:1,14,6916:1,50999,45231,56767,41,,,,,,6916,18.3,23.6,26,0.4,22,0.3,21,0.3,4,0.1,102,1.5,6671,96.5,8,0.1,0.0,1.0,51.0,7306,99.7,
17073,Illinois,Henry,582,319,292,346,22,47,29,71,,,,,10,9,10,10,9,10,10,9,10,33,78,5740,11,2661,5,,,6.1-8.0,53,15,11,20,32,31,33,3948,14,12,15,446,4,3,5,8418,28,3545:1,30,3309:1,51025,46392,55658,32,60,48,,,,49635,22.6,18.5,867,1.7,160,0.3,260,0.5,12,0.0,2666,5.4,45161,91.0,335,0.7,0.3,1.1,50.2,25382,50.3,
17075,Illinois,Iroquois,436,403,363,443,14,52,28,87,,,,,10,10,11,10,10,11,11,10,11,10,41,3700,13,1041,4,16,18,14.1-16.0,42,20,15,27,31,30,32,2659,16,14,18,344,5,4,7,9299,55,1805:1,55,1805:1,46895,42995,50795,40,44,40,,,,28879,22.2,20.4,313,1.1,87,0.3,174,0.6,7,0.0,1886,6.5,26153,90.6,320,1.2,0.7,1.6,51.1,21320,71.7,
17077,Illinois,Jackson,622,383,352,414,33,78,53,109,43,9,7,12,14,13,14,13,12,13,9,9,10,67,128,11610,19,6333,11,24,13,10.1-12.0,56,13,10,17,35,33,36,6449,17,14,19,517,5,3,6,9690,121,829:1,122,817:1,34395,30759,38031,51,49,44,,,,59677,18.0,13.0,8617,14.4,322,0.5,2355,3.9,39,0.1,2517,4.2,44463,74.5,553,1.0,0.5,1.4,49.8,22381,37.2,
17079,Illinois,Jasper,121,356,290,422,,,,,,,,,9,9,9,9,9,10,9,9,10,,,1070,11,447,5,,,8.1-10.0,11,16,8,29,30,29,31,878,15,13,17,107,5,3,6,9116,31,3208:1,31,3208:1,52919,48042,57796,33,,42,,,,9623,22.9,18.2,28,0.3,17,0.2,30,0.3,2,0.0,135,1.4,9345,97.1,69,0.8,0.0,1.7,50.0,6775,69.9,
17081,Illinois,Jefferson,607,440,404,476,24,70,45,105,23,7,4,10,11,10,11,11,10,11,10,10,11,48,147,5780,15,3308,9,,,10.1-12.0,53,19,15,25,34,33,35,3460,16,14,18,357,4,3,5,9460,54,1835:1,67,1482:1,43073,39470,46676,52,65,52,4,2,8,38534,21.8,17.6,3319,8.6,128,0.3,436,1.1,9,0.0,879,2.3,33191,86.1,137,0.4,0.0,0.7,48.6,22819,58.8,
17083,Illinois,Jersey,306,381,337,425,,,,,,,,,9,9,9,9,9,10,9,8,9,14,73,2570,11,942,4,10,15,14.1-16.0,29,18,12,26,30,29,32,1709,13,11,14,187,4,3,5,9507,22,4514:1,27,3762:1,52493,46110,58876,34,,27,,,,22571,21.6,17.6,141,0.6,71,0.3,115,0.5,6,0.0,288,1.3,21741,96.3,37,0.2,0.0,0.6,51.3,13922,60.6,
17085,Illinois,Jo Daviess,243,249,215,283,,,,,,,,,9,9,9,9,9,10,11,10,11,9,46,2570,11,1230,5,,,10.1-12.0,32,20,14,29,29,28,30,2053,16,14,18,254,5,4,7,7775,22,4451:1,22,4451:1,51282,47099,55465,27,,30,,,,22254,19.3,24.6,108,0.5,51,0.2,118,0.5,9,0.0,692,3.1,21106,94.8,45,0.2,0.0,0.6,49.8,16462,72.6,
17087,Illinois,Johnson,153,310,259,362,,,,,,,,,11,10,11,10,10,10,10,10,11,88,793,1870,15,1713,14,,,10.1-12.0,12,14,7,24,33,32,34,1039,16,14,18,119,5,3,6,9328,48,2100:1,48,2100:1,45773,40513,51033,39,,22,,,,12601,18.5,19.3,1037,8.2,39,0.3,37,0.3,4,0.0,410,3.3,10984,87.2,12,0.1,0.0,0.7,44.3,12582,100.0,
17089,Illinois,Kane,3653,240,232,248,261,44,39,50,309,6,5,6,10,10,10,10,10,10,9,9,10,539,129,44010,9,17681,3,143,9,8.1-10.0,223,6,5,7,33,32,33,66557,21,20,22,6749,5,4,5,9912,49,2052:1,49,2020:1,72131,69075,75187,41,48,43,2,2,3,527306,27.1,11.7,28377,5.4,5398,1.0,21272,4.0,401,0.1,165309,31.3,306140,58.1,39980,8.3,7.8,8.7,50.2,18335,3.6,
