FIPS,State,County,Population,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Population,# not proficient in English,% not proficient in English,Female,Rural,% Diabetic,95% CI - Low,95% CI - High,Population,HIV rate,Sample Size,% Binge Drinking,95% CI - Low,95% CI - High,Physical Inactivity,95% CI - Low,95% CI - High,MPH No.,Population,MPH Rate,MPH Ratio,Household Income,95% CI - Low,95% CI - High,# high housing costs,Households,% high housing costs,% Free lunch,Population,Illiteracy,95% CI - Low,95% CI - High,Population,Liquor Stores,Liquor Store Rate,No. Drive Alone,Workers,% Drive Alone
17079,Illinois,Jasper,9530,22.6,16.9,0.4,0.1,0.2,0,0.8,9060,16,0.2,49.7,68.8,9,7,11,8253,,49,,,,27,21,36,0,9622,0,9622:00:00,44445,39796,49094,931,3958,24,28,7904,8.2,3.9,14.9,9622,1,10,3504,4563,77
17081,Illinois,Jefferson,39944,21.8,16.3,8.8,0.2,0.6,0,1.7,37712,426,1.1,48.7,56.4,9,7,11,33991,150,146,11,7,19,26,21,33,1,40069,3,40069:1,38875,35197,42553,4156,15208,27,40,30023,9,4.2,16.2,40069,5,12,13614,16942,80
17083,Illinois,Jersey,22549,22.8,15.6,1.2,0.2,0.3,0,1.1,21047,137,0.7,50.7,61.2,8,7,10,19056,,66,,,,25,19,32,0,22597,0,22597:0,51256,46258,56254,1858,8443,22,29,16948,7.2,3.3,13.2,22597,4,18,8620,10698,81
17085,Illinois,Jo Daviess,21990,20.4,20.7,0.7,0.3,0.2,0,2.9,21059,538,2.6,49.5,71.4,9,7,11,19131,31,103,22,14,34,24,19,31,2,22089,9,11045:1,51237,46472,56002,2823,9806,29,21,18132,8.3,3.9,15.1,22089,4,18,8197,11438,72
17087,Illinois,Johnson,13730,17.9,14.6,15.9,0.3,0.1,0,3.4,13035,160,1.2,39.4,79.1,8,7,10,12044,739,39,,,,28,21,35,0,13675,0,13675:0,42382,37368,47396,809,4175,19,35,8611,10.6,5.1,18.8,13675,0,0,3820,4564,84
17089,Illinois,Kane,511892,29.6,9.1,5.7,0.4,3.3,0.1,28.5,451148,76220,16.9,49.4,6.2,7,6,9,390498,117,1193,20,17,24,22,19,26,134,504057,27,3762:01:00,66834,64783,68885,66091,159054,42,30,331197,11.3,5.3,20.4,504057,56,11,188821,236217,80
17091,Illinois,Kankakee,113215,25.3,13.2,15,0.2,0.9,0,7.7,103461,3592,3.5,51.1,26.9,9,7,11,91641,90,391,16,12,22,28,23,33,15,112719,13,7515:01:00,49987,46331,53643,13457,39149,34,39,78104,10.2,4.9,18.2,112719,12,11,39853,49184,81
17093,Illinois,Kendall,104821,30.7,7.5,6.2,0.2,2.8,0,16.9,85608,4448,5.2,49.6,25.7,6,5,7,75670,20,250,25,18,34,23,19,29,13,101499,13,7808:01:00,85630,80866,90394,11720,29948,39,10,50329,5.7,2.6,10.8,101499,4,4,39606,46937,84
17095,Illinois,Knox,51648,20.6,18.4,7.3,0.3,0.9,0,4.1,49249,456,0.9,49.8,25,9,8,11,44534,177,228,17,11,24,29,23,35,9,51778,17,5753:01:00,38996,35430,42562,5898,21220,28,37,40548,8.6,4,15.5,51778,4,8,18146,21940,83
17097,Illinois,Lake,712567,27.5,10.2,7.1,0.4,6,0.1,19.6,650791,75337,11.6,49.8,1.8,8,7,9,567168,94,1792,16,14,19,21,18,23,516,707622,73,1371:01:00,78617,76282,80952,90461,231819,39,18,490054,10.5,6.6,16.7,707622,78,11,263404,340870,77
