FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
17059,Illinois,Gallatin,75.2,72.9,77.5,,,,101,473,374,573,,,,,,,,,,,,,,,,,,12,12,13,12,12,13,11,8,15,6,133,690,13,1636,29,,,12,32,17,56,30,29,32,214,7,6,9,33,3,2,4,39,2540:1,,42533,37066,48000,,,,60,,,,,,,,,,1744,77,74,79,116,6,2,9,5080,20.8,23.1,32,0.6,17,0.3,4,0.1,0,0.0,78,1.5,4876,96.0,17,0,0,2,51.3,5589,100.0
17061,Illinois,Greene,76.1,74.6,77.7,,,,218,437,376,497,,,,,,,,,,,,,,,,,,12,11,12,12,11,12,10,7,14,6,53,1650,12,882,6,,,24,26,16,38,31,29,32,580,8,6,9,81,3,2,4,68,1464:1,13,47188,42884,51492,,,,58,,31,,,,,,,,3976,78,76,81,387,8,5,11,13174,21.2,19.0,159,1.2,38,0.3,32,0.2,2,0.0,154,1.2,12689,96.3,5,0,0,1,49.6,9838,70.8
17063,Illinois,Grundy,78.9,78.2,79.7,,85.0,78.7,532,315,288,342,,244,321,15,29,16,48,,,,,,,,,,,10,10,11,10,10,11,8,6,11,11,27,4700,9,2479,5,26,17,38,11,8,15,30,29,31,1658,5,4,6,252,2,1,2,65,1533:1,,76214,68322,84106,,56625,73785,24,39,37,,,,20,8,5,12,13695,72,70,74,2143,12,9,14,50586,25.5,13.7,727,1.4,191,0.4,451,0.9,22,0.0,5036,10.0,43783,86.6,345,1,0,1,50.1,12203,24.4
17065,Illinois,Hamilton,77.8,75.9,79.7,,,,130,398,326,470,,,,,,,,,,,,,,,,,,11,11,12,11,11,12,11,8,15,,,970,12,366,4,,,,,,,30,29,32,324,7,6,8,58,3,2,4,73,1366:1,,49092,43379,54805,,,,50,,,,,,,,,,2689,79,74,83,217,7,3,11,8194,22.2,21.5,45,0.5,34,0.4,23,0.3,1,0.0,133,1.6,7900,96.4,12,0,,,51.1,5759,68.1
17067,Illinois,Hancock,81.1,79.8,82.4,,,,225,294,252,336,,,,,,,,,,,,,,,,,,11,10,11,11,10,11,11,8,16,6,38,2000,11,2707,14,,,24,18,12,27,29,28,31,651,6,5,8,98,2,2,3,55,1802:1,,52625,49180,56070,,,,46,,26,,,,,,,,6068,81,79,82,451,6,5,8,18020,21.3,22.7,99,0.5,61,0.3,85,0.5,14,0.1,263,1.5,17325,96.1,36,0,0,1,50.4,13559,71.0
17069,Illinois,Hardin,72.3,68.6,76.1,,,,106,574,448,699,,,,,,,,,,,,,,,,,,13,12,13,12,12,13,12,8,16,,,600,14,206,5,,,11,38,19,68,31,30,33,180,8,7,9,25,3,2,4,74,1349:1,,40160,35463,44857,,,,57,,35,,,,,,,,1165,80,76,84,95,7,2,11,4046,17.2,25.8,75,1.9,32,0.8,21,0.5,5,0.1,93,2.3,3776,93.3,0,0,0,1,48.5,4320,100.0
17071,Illinois,Henderson,79.3,77.0,81.7,,,,108,374,295,453,,,,,,,,,,,,,,,,,,11,10,11,11,10,11,11,8,16,,,720,10,33,0,,,10,20,10,38,30,29,31,309,8,7,9,45,3,2,5,29,3398:1,,51014,44930,57098,,,,58,,,,,,,,,,2397,79,77,82,134,5,2,7,6795,18.2,24.8,22,0.3,20,0.3,28,0.4,5,0.1,117,1.7,6531,96.1,3,0,0,1,51.3,7306,99.7
17073,Illinois,Henry,79.2,78.5,80.0,,84.0,79.0,628,322,296,349,,,,18,40,24,64,,,,,,,,,,,11,10,11,11,10,11,11,8,14,19,46,5090,10,2559,5,11,7,52,15,11,20,30,28,31,1906,7,6,8,257,2,2,3,36,2740:1,,58675,53135,64215,14727,42365,56698,43,63,47,,,,20,8,5,13,15635,78,77,80,1482,8,6,9,49328,22.5,19.9,865,1.8,152,0.3,233,0.5,13,0.0,2830,5.7,44658,90.5,351,1,0,1,50.1,25382,50.3
17075,Illinois,Iroquois,75.7,74.5,76.8,,77.2,75.2,485,452,409,495,,,,17,68,40,109,,,,,,,,,,,12,11,12,11,11,12,11,8,15,15,62,3140,11,2241,8,17,20,46,23,17,31,31,29,32,1380,9,7,10,188,3,2,4,75,1327:1,7,50131,44879,55383,21929,38843,49810,50,58,34,,,,21,15,9,23,8997,76,74,78,1481,13,11,15,27876,21.6,21.2,300,1.1,104,0.4,187,0.7,7,0.0,1951,7.0,25054,89.9,304,1,1,2,50.9,21320,71.7
17077,Illinois,Jackson,78.5,77.7,79.4,76.1,95.9,78.3,676,384,354,415,506,,386,27,63,42,92,,,,33,7,5,10,,,,14,14,14,13,13,14,9,6,11,50,97,11000,19,6755,11,33,19,63,15,12,19,35,33,36,3212,9,7,10,393,4,2,5,172,583:1,4,38157,34614,41700,16895,28500,41350,56,43,37,,,,31,11,7,15,12706,53,52,54,4528,20,18,23,58284,18.4,15.0,8590,14.7,313,0.5,2241,3.8,54,0.1,2581,4.4,43139,74.0,487,1,0,1,50.0,22381,37.2
